CustomerID,LookalikeID,SimilarityScore
C0001,C0056,0.9998240973212617
C0001,C0184,0.999718438319019
C0001,C0026,0.9997051107981241
C0002,C0029,0.9999504900955211
C0002,C0031,0.9998274241100427
C0002,C0199,0.9991011801307712
C0003,C0049,0.9991194140786915
C0003,C0030,0.9990951445990043
C0003,C0160,0.9990673533299639
C0004,C0175,0.9997779128986665
C0004,C0113,0.9997091305253151
C0004,C0169,0.9994673854421238
C0005,C0131,0.9998910689117076
C0005,C0186,0.9990257044139929
C0005,C0159,0.9988071422947855
C0006,C0079,0.9999947410910662
C0006,C0117,0.9996349567400363
C0006,C0187,0.9994369139833564
C0007,C0167,0.998860091819617
C0007,C0085,0.9987535654131029
C0007,C0120,0.9984884081805772
C0008,C0195,0.9999658848121774
C0008,C0124,0.9994792655216743
C0008,C0039,0.9993756856276743
C0009,C0083,0.9983025593075068
C0009,C0140,0.9965780854206813
C0009,C0063,0.9959450129587397
C0010,C0176,0.9994801923072418
C0010,C0142,0.9968450072433162
C0010,C0029,0.9968374886857767
C0011,C0139,0.9999162551949975
C0011,C0194,0.9997775527730925
C0011,C0024,0.9996488500481785
C0012,C0101,0.9999976432542933
C0012,C0018,0.9998642513581844
C0012,C0145,0.9998291655685554
C0013,C0053,0.9993954308612488
C0013,C0182,0.9993805435405406
C0013,C0046,0.9993412820190413
C0014,C0033,0.9995951000556222
C0014,C0097,0.9995739130400211
C0014,C0060,0.9993553678795826
C0015,C0123,0.9990474126258287
C0015,C0095,0.998720877495641
C0015,C0198,0.9986952242514159
C0016,C0154,0.9988633302820389
C0016,C0118,0.9987720655614819
C0016,C0152,0.998584766539903
C0017,C0162,0.9997978055703344
C0017,C0084,0.9995881635107928
C0017,C0169,0.9995765712034658
C0018,C0012,0.9998642513581844
C0018,C0101,0.9998284909366129
C0018,C0173,0.9996129754185998
C0019,C0076,0.999930650718427
C0019,C0027,0.9998348395460821
C0019,C0172,0.9996374129711981
C0020,C0080,0.9998689195116727
C0020,C0130,0.9991564399324739
C0020,C0150,0.9990716122057443
